Mixtures/components,V31,v25,v22,HMS151,HMS301,PMDM1015,PMDM1021,DPDM0421,PM0025
v31-151-,0.5,0,0,0.5,0,0,0,0,0
v31-151-0025(5%),0.475,0,0,0.475,0,0,0,0,0.05
v31-151-0025(10%),0.45,0,0,0.45,0,0,0,0,0.1
v31-151-0421(5%),0.475,0,0,0.475,0,0,0,0.05,0
v31-151-0421(10%),0.45,0,0,0.45,0,0,0,0.1,0
v31-151-1015(5%),0.475,0,0,0.475,0,0.05,0,0,0
v31-151-1015(10%),0.45,0,0,0.45,0,0.1,0,0,0
v31-151-1021(5%),0.475,0,0,0.475,0,0,0.05,0,0
v31-151-1021(10%),0.45,0,0,0.45,0,0,0.1,0,0
v22-301,0,0,0.5,0,0.5,0,0,0,0
v22-301-0025(5%),0,0,0.475,0,0.475,0,0,0,0.05
v22-301-0025(10%),0,0,0.45,0,0.45,0,0,0,0.1
v22-301-0421 (5%),0,0,0.475,0,0.475,0,0,0.05,0
v22-301-0421 (10%),0,0,0.45,0,0.45,0,0,0.1,0
v22-301-1015 (5%),0,0,0.475,0,0.475,0.05,0,0,0
v22-301-1015 (10%),0,0,0.45,0,0.45,0.1,0,0,0
v22-301-1021(5%),0,0,0.475,0,0.475,0,0.05,0,0
v22-301-1021(10%),0,0,0.45,0,0.45,0,0.1,0,0
